"loc";"prv";"localidad"
418;15;"SAN PATRICIO DEL CHAÑAR       "
419;24;"INGENIO LA FLORIDA            "
420;4;"BRIO REMEDIOS DE ESCALADA     "
420;14;"COLONIA ALBERDI               "
422;10;"TILCARA                       "
422;13;"NUEVA CIUDAD                  "
423;2;"BLAQUIER                      "
424;15;"SENILLOSA                     "
424;16;"SIERRA GRANDE                 "
425;4;"BRIO RES SAN CARLOS           "
425;8;"EJIDO COLON                   "
426;13;"PALMIRA                       "
427;21;"ESPERANZA                     "
428;4;"BRIO RES VELEZ SARSFIELD      "
429;4;"BRIO RESIDENCIAL AMERICA      "
430;4;"BRIO RIVADAVIA                "
431;4;"BRIO RIVADAVIA                "
432;2;"BOLIVAR                       "
432;4;"BRIO RIVERA INDARTE           "
433;2;"BONIFACIO                     "
433;7;"RIO PICO                      "
433;21;"ESTACION CLUCELLAS            "
434;4;"BRIO ROGELIO MARTINEZ         "
434;6;"VILLA ANGELA                  "
435;13;"PASO DE LOS ANDES             "
436;4;"BRIO ROSEDAL                  "
436;6;"VILLA BERTHET                 "
436;17;"LA SILLETA                    "
437;2;"OLIVOS                        "
437;24;"JUAN BAUTISTA ALBERDI         "
439;2;"BOSQUES                       "
439;4;"BRIO SAN FERNANDO             "
439;13;"PEDREGAL                      "
440;2;"BOULOGNE                      "
440;4;"BRIO SAN FRANCISCO            "
440;16;"VALLE AZUL                    "
440;21;"VILLA CONSTITUCION            "
441;2;"BOULOGNE                      "
441;4;"BRIO SAN IGNACIO              "
441;13;"PERDRIEL                      "
442;2;"BRAGADO                       "
443;16;"VIEDMA                        "
445;2;"BRIO AERONAUTICO (JOSE C PAZ) "
445;4;"BRIO SAN LORENZO              "
445;19;"HIPOLITO YRIGOYEN             "
446;4;"BRIO SAN LORENZO NORTE        "
447;4;"BRIO SAN LORENZO SUR          "
447;16;"VILLA REGINA                  "
448;10;"VILLA JARDIN DE REYES         "
449;4;"BRIO SAN MARTIN NORTE         "
450;2;"TABLADA                       "
450;4;"BRIO SAN MARTIN               "
